Row Number,Customer ID,First Name,State,Gender,Age,Salary,Credit Score,Tenure,Balance,HasCrCard,Card Type,HasLoan,HasFD,Num Of Products,IsActiveMember,Exited,Complain,Count of Complains,Satisfaction Score,Point Earned,Preferred Channel
61,KA00061,Sai,Karnataka,Male,54,380000,615,2,95109.32,1,Gold,0,1,2,1,0,1,12,9,66,Email
62,MH00062,Poonam,Maharashtra,Female,30,70000,612,9,122176.36,1,Platinum,1,0,2,1,0,0,0,4,90,Mobile
63,MH00063,Tanmay,Maharashtra,Male,75,114000,518,2,0,1,Silver,0,0,1,0,1,0,0,6,110,Email
64,TN00064,Rajesh,Tamil Nadu,Male,58,86000,759,4,124402.44,1,Silver,0,1,2,1,0,0,0,5,100,Mobile
65,MH00065,Alka,Maharashtra,Female,30,72000,745,3,217478.29,1,Gold,0,0,1,1,0,1,16,6,28,Phone
66,MH00066,Ankita,Maharashtra,Female,54,22000,551,3,43953.57,0,Not Applicable,0,0,0,1,1,0,0,2,70,Email
67,WB00067,Suman,West Bengal,Female,48,165000,688,3,211629.16,1,Gold,1,0,2,1,0,1,4,9,140,Phone
68,KA00068,Anirudh,Karnataka,Male,73,270000,559,1,33802.61,1,Platinum,0,0,1,0,1,1,23,3,0,Email
69,MH00069,Seema,Maharashtra,Female,37,192000,704,9,29771.45,1,Silver,0,1,2,1,0,1,28,6,4,Email
70,TN00070,Arjun,Tamil Nadu,Male,25,111000,758,3,17472.18,1,Gold,0,0,1,1,0,0,0,7,120,Mobile
71,TN00071,Aditya,Tamil Nadu,Male,78,14000,559,2,0,1,Platinum,0,0,1,0,1,0,0,2,70,Email
72,TN00072,Mahesh,Tamil Nadu,Male,67,30000,585,4,43006.12,1,Platinum,1,0,2,0,1,1,22,6,76,Phone
73,KA00073,Yash,Karnataka,Male,26,148000,751,1,0,1,Silver,1,0,2,1,0,0,0,9,140,Branch
74,MH00074,Varsha,Maharashtra,Female,33,169000,704,1,219032.59,1,Platinum,0,1,2,1,0,1,18,5,14,Mobile
75,KA00075,Tanmay,Karnataka,Male,35,165000,732,2,62611.36,0,Not Applicable,0,1,1,1,0,0,0,5,100,Email
76,MH00076,Sai,Maharashtra,Male,52,194000,778,2,110415.95,1,Gold,0,1,2,1,0,0,0,4,90,Mobile
77,WB00077,Yash,West Bengal,Male,56,186000,679,5,226168.45,1,Silver,0,0,1,1,0,0,0,4,90,Mobile
78,KA00078,Meera,Karnataka,Female,61,118000,553,8,0,1,Platinum,0,0,1,1,1,1,5,6,50,Email
79,TN00079,Shruti,Tamil Nadu,Female,50,130000,526,4,22101.22,1,Silver,0,0,1,0,1,0,0,2,70,Mobile
80,KA00080,Charvi,Karnataka,Female,52,190000,717,8,36860.71,1,Platinum,1,0,2,1,0,1,23,7,24,Mobile
81,TN00081,Mohan,Tamil Nadu,Male,70,11000,600,1,43395.91,1,Silver,0,0,1,0,1,1,20,2,0,Phone
82,WB00082,Rajesh,West Bengal,Male,56,172000,689,3,244871.51,1,Platinum,1,1,3,1,0,0,0,6,110,Email
83,KA00083,Sandeep,Karnataka,Male,29,80000,607,1,217945.28,0,Not Applicable,0,1,1,1,0,1,1,8,130,Mobile
84,WB00084,Saanvi,West Bengal,Female,35,124000,747,2,161250.1,1,Gold,0,1,2,1,0,0,0,6,110,Mobile
85,KA00085,Ankita,Karnataka,Female,33,129000,749,5,0,1,Platinum,0,1,2,1,0,0,0,6,110,Email
86,WB00086,Ravi,West Bengal,Male,72,20000,533,6,12174.11,1,Silver,1,0,2,0,1,1,26,6,68,Branch
87,TN00087,Manish,Tamil Nadu,Male,42,49000,715,8,173468.28,1,Silver,0,0,1,1,0,0,0,10,150,Mobile
88,DL00088,Mahesh,Delhi,Male,37,173000,696,6,64739.15,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
89,KA00089,Charvi,Karnataka,Female,49,61000,711,3,66456.54,0,Not Applicable,0,0,0,1,0,0,0,9,140,Mobile
90,TN00090,Umesh,Tamil Nadu,Male,26,88000,660,6,116252.07,1,Silver,0,1,2,1,0,0,0,5,100,Mobile
91,MH00091,Nikhil,Maharashtra,Male,27,77000,615,5,209647.15,1,Silver,1,0,2,1,0,0,0,4,90,Mobile
92,MH00092,Tarun,Maharashtra,Male,59,148000,637,5,0,1,Silver,0,1,2,1,0,0,0,5,100,Phone
93,MH00093,Arjun,Maharashtra,Male,27,164000,645,9,68477.61,1,Gold,1,1,3,1,0,0,0,5,100,Mobile
94,MH00094,Ankit,Maharashtra,Male,45,118000,684,2,83325.83,1,Silver,0,0,1,1,0,0,0,5,100,Mobile
95,TN00095,Rajesh,Tamil Nadu,Male,59,149000,718,4,83122.99,1,Platinum,0,1,2,1,0,0,0,5,100,Mobile
96,DL00096,Saanvi,Delhi,Female,40,112000,800,6,238671.41,0,Not Applicable,0,1,1,1,0,0,0,7,120,Branch
97,TN00097,Ramesh,Tamil Nadu,Male,42,109000,736,2,166048.26,1,Silver,1,0,2,1,0,1,9,6,42,Branch
98,MH00098,Yogesh,Maharashtra,Male,79,137000,527,2,3114.59,1,Platinum,0,0,1,0,1,0,0,3,80,Email
99,KA00099,Ritik,Karnataka,Male,46,63000,727,3,110459.35,1,Gold,0,0,1,1,0,0,0,8,130,Branch
100,DL00100,Saanvi,Delhi,Female,59,86000,737,4,212645.7,1,Silver,0,1,2,1,0,0,0,4,90,Phone
101,TN00101,Divya,Tamil Nadu,Female,66,96000,573,6,0,1,Gold,1,0,2,1,1,1,20,1,0,Phone
102,MH00102,Shruti,Maharashtra,Female,32,117000,708,1,168168.53,0,Not Applicable,1,1,2,1,0,0,0,6,110,Phone
103,DL00103,Harsh,Delhi,Male,29,32000,759,5,197796.38,1,Silver,0,0,1,1,0,0,0,7,120,Mobile
104,MH00104,Sunita,Maharashtra,Female,36,52000,735,3,149781.44,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
105,KA00105,Umesh,Karnataka,Male,69,21000,525,1,0,1,Platinum,0,0,1,1,1,0,0,2,70,Phone
106,DL00106,Poonam,Delhi,Female,71,21000,533,2,2158.69,0,Not Applicable,1,0,1,1,1,0,0,6,110,Phone
107,KA00107,Yash,Karnataka,Male,79,142000,566,3,40587.61,1,Platinum,0,0,1,0,1,1,27,6,6,Mobile
108,TN00108,Meenal,Tamil Nadu,Female,46,93000,745,8,0,1,Silver,0,0,1,1,0,0,0,9,140,Email
109,MH00109,Kunal,Maharashtra,Male,34,61000,711,6,0,1,Silver,1,1,3,1,0,0,0,9,140,Email
110,MH00110,Sanjay,Maharashtra,Male,28,56000,746,1,154514.95,1,Silver,0,0,1,1,0,0,0,5,100,Email
111,TN00111,Sanjay,Tamil Nadu,Male,72,164000,506,7,36783.16,1,Platinum,0,0,1,0,1,1,12,6,36,Phone
112,WB00112,Vihaan,West Bengal,Male,34,164000,739,6,150594.44,1,Gold,0,0,1,1,0,1,3,9,140,Mobile
113,TN00113,Yash,Tamil Nadu,Male,60,98000,698,2,0,1,Gold,0,1,2,1,0,0,0,4,90,Mobile
114,MH00114,Aditya,Maharashtra,Male,52,113000,788,3,192255.58,1,Gold,0,1,2,1,0,1,20,6,20,Email
115,TN00115,Kunal,Tamil Nadu,Male,42,197000,717,2,208688.41,1,Gold,0,1,2,1,0,1,21,10,58,Mobile
116,WB00116,Kavita,West Bengal,Female,50,153000,600,2,0,1,Silver,0,0,1,0,1,1,26,1,0,Mobile
117,TN00117,Harsh,Tamil Nadu,Male,51,26000,493,2,27271.59,0,Not Applicable,0,0,0,0,1,1,11,5,0,Mobile
118,DL00118,Arjun,Delhi,Male,45,35000,732,5,67311.09,1,Silver,0,0,1,1,0,1,30,10,40,Email
119,MH00119,Zoya,Maharashtra,Female,43,121000,632,1,162299.78,1,Gold,0,0,1,1,0,1,18,5,14,Phone
120,WB00120,Vijay,West Bengal,Male,57,176000,686,6,206890.6,1,Silver,0,0,1,1,0,1,11,4,18,Branch
121,KA00121,Seema,Karnataka,Female,55,49000,569,1,10487.65,1,Platinum,0,0,1,0,1,0,0,5,100,Email
122,TN00122,Kunal,Tamil Nadu,Male,52,156000,661,6,30923.07,1,Silver,0,0,1,1,0,1,11,5,28,Phone
123,DL00123,Manish,Delhi,Male,78,178000,491,5,8356.6,1,Gold,0,1,2,0,1,1,21,5,58,Email
124,KA00124,Geeta,Karnataka,Female,33,97000,759,6,166184.45,0,Not Applicable,1,1,2,1,0,0,0,7,120,Mobile
125,WB00125,Prakash,West Bengal,Male,49,34000,679,8,80132.38,0,Not Applicable,0,0,0,1,0,0,0,6,110,Email
126,KA00126,Deepak,Karnataka,Male,60,43000,696,1,0,1,Gold,0,0,1,1,0,0,0,4,90,Branch
127,DL00127,Geeta,Delhi,Female,40,68000,736,2,199398.6,1,Platinum,0,1,2,1,0,0,0,4,90,Email
128,DL00128,Divya,Delhi,Female,47,59000,667,5,121463.98,1,Silver,0,1,2,1,0,0,0,7,120,Mobile
129,TN00129,Kartik,Tamil Nadu,Male,27,111000,721,2,162184.97,1,Platinum,0,1,2,1,0,1,6,8,68,Mobile
130,TN00130,Shivam,Tamil Nadu,Male,44,79000,707,6,214992.64,1,Silver,0,0,1,1,0,0,0,10,150,Mobile
131,WB00131,Ishaan,West Bengal,Male,58,18000,556,2,0,1,Platinum,1,0,2,1,1,0,0,8,130,Email
132,MH00132,Aditi,Maharashtra,Female,29,179000,766,2,0,1,Silver,0,1,2,1,0,0,0,4,90,Mobile
133,MH00133,Dinesh,Maharashtra,Male,57,139000,616,3,172880.79,1,Silver,0,1,2,1,0,0,0,6,110,Mobile
134,WB00134,Pankaj,West Bengal,Male,26,168000,655,1,117724.74,1,Gold,0,0,1,1,0,0,0,4,90,Mobile
135,DL00135,Ramesh,Delhi,Male,58,33000,600,8,0,1,Silver,0,0,1,0,1,1,28,4,0,Email
136,TN00136,Shivam,Tamil Nadu,Male,25,165000,666,5,134137.45,1,Silver,1,1,3,1,0,0,0,10,150,Mobile
137,MH00137,Nandini,Maharashtra,Female,28,159000,644,1,0,1,Platinum,1,1,3,1,0,0,0,7,120,Mobile
138,TN00138,Suraj,Tamil Nadu,Male,42,196000,704,7,0,1,Silver,1,1,3,1,0,0,0,4,90,Email
139,DL00139,Sonia,Delhi,Female,58,130000,660,1,66408.93,0,Not Applicable,0,1,1,1,0,0,0,8,130,Email
140,WB00140,Sheetal,West Bengal,Female,48,53000,668,6,45516.2,0,Not Applicable,0,0,0,1,0,0,0,5,100,Phone
141,MH00141,Kavita,Maharashtra,Female,66,94000,531,1,0,1,Platinum,0,0,1,1,1,1,2,6,110,Email
142,TN00142,Sandeep,Tamil Nadu,Male,38,49000,798,5,193486.67,1,Gold,0,1,2,1,0,0,0,7,120,Mobile
143,MH00143,Yash,Maharashtra,Male,64,78000,582,1,36135.35,1,Gold,1,0,2,0,1,1,29,6,62,Branch
144,KA00144,Pooja,Karnataka,Female,31,168000,709,1,26567.09,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
145,MH00145,Ashok,Maharashtra,Male,35,50000,660,7,11461.3,1,Gold,0,0,1,1,0,0,0,8,130,Mobile
146,TN00146,Prakash,Tamil Nadu,Male,27,124000,684,8,73880.32,1,Gold,0,0,1,1,0,0,0,9,140,Email
147,MH00147,Khushi,Maharashtra,Female,34,119000,790,1,181348.63,0,Not Applicable,0,0,0,1,0,1,21,6,18,Phone
148,DL00148,Madhuri,Delhi,Female,39,173000,761,1,21244.46,1,Platinum,0,1,2,1,0,1,3,4,90,Phone
149,MH00149,Vihaan,Maharashtra,Male,28,126000,713,2,234717.08,1,Gold,1,1,3,1,0,0,0,6,110,Mobile
150,KA00150,Nitya,Karnataka,Female,35,48000,709,9,74552.33,1,Silver,0,0,1,1,0,0,0,10,150,Email
151,MH00151,Kartik,Maharashtra,Male,31,166000,677,9,99078.79,0,Not Applicable,0,0,0,1,0,0,0,7,120,Email
152,KA00152,Rajesh,Karnataka,Male,45,118000,772,2,78978.3,1,Gold,1,1,3,1,0,0,0,5,100,Branch
153,DL00153,Saanvi,Delhi,Female,59,146000,600,5,0,1,Gold,0,0,1,1,0,0,0,6,110,Mobile
154,DL00154,Nikhil,Delhi,Male,64,23000,540,3,0,1,Platinum,1,0,2,1,1,0,0,8,130,Branch
155,DL00155,Naveen,Delhi,Male,57,158000,622,4,25766.77,1,Platinum,1,1,3,1,0,0,0,8,130,Mobile
156,TN00156,Manisha,Tamil Nadu,Female,56,84000,739,1,184150.53,1,Gold,0,0,1,1,0,0,0,6,110,Email
157,DL00157,Jhanvi,Delhi,Female,55,160000,684,1,65260.22,1,Gold,0,1,2,1,0,0,0,5,100,Mobile
158,DL00158,Vikas,Delhi,Male,37,197000,707,4,116929.99,1,Gold,1,0,2,1,0,0,0,5,100,Email
159,TN00159,Vikas,Tamil Nadu,Male,36,194000,678,3,55625.84,1,Gold,0,0,1,1,0,0,0,6,110,Phone
160,DL00160,Ankit,Delhi,Male,41,188000,619,1,129734.96,1,Gold,1,1,3,1,0,0,0,5,100,Phone
161,KA00161,Mohan,Karnataka,Male,53,112000,804,1,247620.73,0,Not Applicable,0,0,0,1,0,0,0,8,130,Branch
162,KA00162,Rahul,Karnataka,Male,53,35000,687,4,213345.2,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
163,DL00163,Shivam,Delhi,Male,29,182000,724,5,77799.06,1,Platinum,0,0,1,1,0,0,0,5,100,Mobile
164,MH00164,Pankaj,Maharashtra,Male,52,168000,785,4,0,0,Not Applicable,0,1,1,1,0,0,0,8,130,Mobile
165,DL00165,Aarav,Delhi,Male,47,196000,691,2,0,1,Silver,0,1,2,1,0,0,0,7,120,Phone
166,MH00166,Nikhil,Maharashtra,Male,60,77000,733,6,156311.44,0,Not Applicable,0,1,1,1,0,1,16,5,18,Mobile
167,DL00167,Yogesh,Delhi,Male,65,192000,554,4,0,1,Silver,1,0,2,0,1,0,0,1,70,Phone
168,TN00168,Rohan,Tamil Nadu,Male,48,177000,659,2,120811.87,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
169,KA00169,Nikhil,Karnataka,Male,66,26000,572,2,0,1,Platinum,0,0,1,1,1,1,15,2,0,Branch
170,MH00170,Ramesh,Maharashtra,Male,30,194000,783,2,113103.03,1,Platinum,0,1,2,1,0,0,0,6,110,Email
171,KA00171,Madhuri,Karnataka,Female,46,62000,752,4,245657.37,1,Silver,0,1,2,1,0,1,21,9,48,Branch
172,TN00172,Charvi,Tamil Nadu,Female,57,140000,730,2,89789.48,1,Platinum,0,0,1,1,0,0,0,5,100,Phone
173,KA00173,Varsha,Karnataka,Female,34,89000,720,1,106864.24,1,Silver,0,1,2,1,0,0,0,8,130,Email
174,KA00174,Tarun,Karnataka,Male,50,132000,697,4,0,0,Not Applicable,0,1,1,1,0,0,0,5,100,Phone
175,TN00175,Amit,Tamil Nadu,Male,56,135000,621,5,0,1,Gold,1,1,3,1,0,0,0,4,90,Email
176,KA00176,Nitya,Karnataka,Female,28,145000,746,7,239819.44,1,Silver,0,1,2,1,0,0,0,8,130,Mobile
177,DL00177,Tanmay,Delhi,Male,39,46000,702,4,157190,1,Gold,1,0,2,1,0,1,23,10,54,Mobile
178,MH00178,Naveen,Maharashtra,Male,35,181000,767,4,153302.98,1,Silver,0,1,2,1,0,0,0,6,110,Mobile
179,KA00179,Saanvi,Karnataka,Female,32,36000,690,8,90065.63,0,Not Applicable,0,0,0,1,0,0,0,8,130,Email
180,TN00180,Mohan,Tamil Nadu,Male,39,100000,669,1,198423.45,1,Gold,0,0,1,1,0,0,0,10,150,Phone
181,TN00181,Aarohi,Tamil Nadu,Female,45,106000,727,7,117088.29,0,Not Applicable,1,0,1,1,0,0,0,7,120,Phone
182,DL00182,Yogesh,Delhi,Male,56,44000,648,3,75159.7,1,Platinum,0,0,1,1,0,0,0,7,120,Email
183,DL00183,Tina,Delhi,Female,46,155000,681,5,38212.31,1,Gold,1,0,2,1,0,0,0,7,120,Email
184,KA00184,Bhavya,Karnataka,Female,64,30000,458,1,30387.63,0,Not Applicable,1,0,1,0,1,0,0,10,150,Branch
185,KA00185,Ashok,Karnataka,Male,53,189000,600,8,0,0,Not Applicable,0,1,1,1,0,0,0,4,90,Mobile
186,DL00186,Naresh,Delhi,Male,25,152000,700,1,171579.15,1,Silver,0,1,2,1,0,0,0,4,90,Email
187,DL00187,Tanisha,Delhi,Female,31,78000,634,7,13208.24,1,Gold,0,1,2,1,0,0,0,8,130,Mobile
188,WB00188,Ashok,West Bengal,Male,42,42000,689,6,65571.62,0,Not Applicable,1,1,2,1,0,0,0,6,110,Email
189,KA00189,Meera,Karnataka,Female,51,42000,755,7,0,0,Not Applicable,0,0,0,1,0,0,0,4,90,Mobile
190,KA00190,Sunita,Karnataka,Female,68,23000,529,6,0,1,Platinum,0,0,1,0,1,1,30,4,0,Phone
191,DL00191,Raj,Delhi,Male,35,44000,657,6,111964.2,0,Not Applicable,0,1,1,1,0,0,0,8,130,Branch
192,TN00192,Rajesh,Tamil Nadu,Male,27,142000,667,8,136893.86,0,Not Applicable,0,1,1,1,0,0,0,7,120,Email
193,DL00193,Ashok,Delhi,Male,54,24000,517,1,0,0,Not Applicable,0,0,0,0,1,1,28,6,0,Mobile
194,WB00194,Manisha,West Bengal,Female,26,158000,722,2,26141.42,1,Silver,0,1,2,1,0,0,0,4,90,Mobile
195,MH00195,Anirudh,Maharashtra,Male,35,160000,760,5,65684.36,1,Silver,0,0,1,1,0,1,15,5,20,Email
196,DL00196,Kartik,Delhi,Male,53,95000,670,4,43224.52,1,Gold,0,0,1,1,0,0,0,6,110,Branch
197,WB00197,Ankita,West Bengal,Female,44,116000,700,7,172607.59,1,Gold,0,1,2,1,0,0,0,4,90,Email
198,KA00198,Madhuri,Karnataka,Female,36,134000,735,1,210968.1,1,Silver,1,0,2,1,0,0,0,5,100,Branch
199,KA00199,Saanvi,Karnataka,Female,26,70000,617,8,32778.03,1,Platinum,0,1,2,1,0,0,0,6,110,Email
200,MH00200,Payal,Maharashtra,Female,51,110000,726,2,17206.24,0,Not Applicable,0,0,0,1,0,0,0,10,150,Email
201,TN00201,Varsha,Tamil Nadu,Female,53,56000,689,1,122585.73,1,Platinum,1,1,3,1,0,0,0,6,110,Mobile
202,MH00202,Rahul,Maharashtra,Male,56,57000,512,10,3128.24,0,Not Applicable,0,1,1,0,1,1,8,3,14,Phone
203,MH00203,Aarav,Maharashtra,Male,48,92000,628,2,246216.28,1,Platinum,0,1,2,1,0,1,23,6,14,Email
204,MH00204,Ankit,Maharashtra,Male,62,142000,589,2,791.16,1,Silver,0,0,1,0,1,1,20,2,0,Phone
205,TN00205,Kunal,Tamil Nadu,Male,41,143000,702,5,164738.86,1,Gold,0,1,2,1,0,1,6,4,28,Mobile
206,MH00206,Komal,Maharashtra,Female,32,155000,767,2,70671.63,0,Not Applicable,0,1,1,1,0,0,0,10,150,Mobile
207,MH00207,Ananya,Maharashtra,Female,46,46000,733,2,190063.78,1,Platinum,0,1,2,1,0,0,0,4,90,Email
208,WB00208,Nitya,West Bengal,Female,52,151000,768,3,133101.32,1,Gold,0,1,2,1,0,0,0,5,100,Mobile
209,TN00209,Ankita,Tamil Nadu,Female,34,67000,678,2,232812.04,0,Not Applicable,0,0,0,1,0,0,0,4,90,Email
210,MH00210,Raj,Maharashtra,Male,35,93000,715,2,143549.49,0,Not Applicable,0,0,0,1,0,0,0,6,110,Phone
211,MH00211,Ritik,Maharashtra,Male,68,32000,600,5,47358.07,1,Silver,0,0,1,0,1,0,0,10,150,Phone
212,MH00212,Vihaan,Maharashtra,Male,52,64000,785,3,139840.7,0,Not Applicable,0,1,1,1,0,1,15,10,70,Mobile
213,TN00213,Aditi,Tamil Nadu,Female,73,178000,600,3,0,1,Platinum,1,0,2,1,1,1,18,2,0,Email
214,DL00214,Vijay,Delhi,Male,25,155000,681,3,92105.83,1,Platinum,0,1,2,1,0,0,0,9,140,Mobile
